reporting_month,calculated_r_gpcd
2014-06-15,61027.8961
2014-07-15,63488.6595
2014-08-15,60025.7608
2014-09-15,56794.4811
2014-10-15,49446.8336
2014-11-15,39044.5061
2014-12-15,28766.4517
2015-01-15,30861.3861
2015-02-15,32996.5927
2015-03-15,36688.4419
2015-04-15,41163.8067
2015-05-15,40068.6116
2015-06-15,45578.1134
2015-07-15,45968.6524
2015-08-15,47396.4876
2015-09-15,44988.7536
2015-10-15,39457.351
2015-11-15,33119.0745
2015-12-15,29023.9578
2016-01-15,26293.6641
2016-02-15,28897.5271
2016-03-15,28475.5723
2016-04-15,34174.3393
2016-05-15,39508.8028
2016-06-15,49565.1203
2016-07-15,53750.520300000004
2016-08-15,53741.5634
2016-09-15,50322.8446
2016-10-15,40812.4916
2016-11-15,34013.7852
2016-12-15,28211.0849
2017-01-15,25200.9985
2017-02-15,25144.7035
2017-03-15,29038.0596
2017-04-15,35552.3005
2017-05-15,44607.0053
2017-06-15,52117.3859
2017-07-15,56817.7518
2017-08-15,55124.7964
2017-09-15,51757.1664
2017-10-15,46122.1276
2017-11-15,36633.5654
2017-12-15,32778.678
2018-01-15,29609.7947
2018-02-15,32125.0216
2018-03-15,26681.3127
2018-04-15,34320.7868
2018-05-15,41448.8968
2018-06-15,49553.5184
2018-07-15,53723.1454
2018-08-15,51900.3201
2018-09-15,47689.5112
2018-10-15,40417.338
2018-11-15,35905.8901
2018-12-15,25967.829999999998
2019-01-15,24859.4667
2019-02-15,23105.5982
2019-03-15,24036.9437
2019-04-15,32824.1349
2019-05-15,34515.5709
2019-06-15,42021.2489
2019-07-15,46886.1322
2019-08-15,48337.6532
2019-09-15,45387.3284
2019-10-15,39494.4092
2019-11-15,33937.4249
2019-12-15,23925.7907
2020-01-15,25680.4114
2020-02-15,29703.3922
2020-03-15,27644.567900000002
2020-04-15,31192.4964
2020-05-15,42882.5732
2020-06-15,49607.5496
2020-07-15,53670.4415
2020-08-15,54289.1497
2020-09-15,54661.9142
2020-10-15,48694.4785
2020-11-15,40028.6213
2020-12-15,34683.241
2021-01-15,31265.8723
2021-02-15,31841.5786
2021-03-15,32595.7492
2021-04-15,42062.5906
2021-05-15,47492.511
2021-06-15,54278.9777
2021-07-15,56767.2687
2021-08-15,55021.941
2021-09-15,52501.9812
2021-10-15,41553.8466
2021-11-15,35351.0603
2021-12-15,28813.5
2022-01-15,28480.4039
2022-02-15,33082.2108
2022-03-15,33623.3444
2022-04-15,33285.3099
